SYMBOL,COMPANY,SECTOR,GROUPS
360ONE,,,FNO
ABB,,,FNO
ABCAPITAL,,,FNO
ADANIENSOL,,,FNO
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,"FNO,N50"
ADANIGREEN,,,FNO
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,"FNO,N50"
ADANIPOWER,,,FNO
ALKEM,,,FNO
AMBER,,,FNO
AMBUJACEM,,,FNO
ANGELONE,,,FNO
APLAPOLLO,,,FNO
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,"FNO,N50"
ASHOKLEY,,,FNO
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,"FNO,N50"
ASTRAL,,,FNO
AUBANK,AU Small Finance Bank Ltd.,Financial Services,"FNO,BNF"
AUROPHARMA,,,FNO
AXISBANK,Axis Bank Ltd.,Financial Services,"FNO,N50,BNF"
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,"FNO,N50"
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,"FNO,N50"
BAJAJHLDNG,,,FNO
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,"FNO,N50"
BANDHANBNK,,,FNO
BANKBARODA,Bank of Baroda,Financial Services,"FNO,BNF"
BANKINDIA,,,FNO
BDL,,,FNO
BEL,Bharat Electronics Ltd.,Capital Goods,"FNO,N50"
BHARATFORG,,,FNO
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,"FNO,N50"
BHEL,,,FNO
BIOCON,,,FNO
BLUESTARCO,,,FNO
BOSCHLTD,,,FNO
BPCL,,,FNO
BRITANNIA,,,FNO
BSE,,,FNO
CAMS,,,FNO
CANBK,Canara Bank,Financial Services,"FNO,BNF"
CDSL,,,FNO
CGPOWER,,,FNO
CHOLAFIN,,,FNO
CIPLA,Cipla Ltd.,Healthcare,"FNO,N50"
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,"FNO,N50"
COCHINSHIP,,,FNO
COFORGE,,,FNO
COLPAL,,,FNO
CONCOR,,,FNO
CROMPTON,,,FNO
CUMMINSIND,,,FNO
DABUR,,,FNO
DALBHARAT,,,FNO
DELHIVERY,,,FNO
DIVISLAB,,,FNO
DIXON,,,FNO
DLF,,,FNO
DMART,,,FNO
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,"FNO,N50"
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,"FNO,N50"
ETERNAL,Eternal Ltd.,Consumer Services,"FNO,N50"
FEDERALBNK,Federal Bank Ltd.,Financial Services,"FNO,BNF"
FORCEMOT,,,FNO
FORTIS,,,FNO
GAIL,,,FNO
GLENMARK,,,FNO
GMRAIRPORT,,,FNO
GODFRYPHLP,,,FNO
GODREJCP,,,FNO
GODREJPROP,,,FNO
GRASIM,Grasim Industries Ltd.,Construction Materials,"FNO,N50"
GVT&D,,,FNO
HAL,,,FNO
HAVELLS,,,FNO
HCLTECH,HCL Technologies Ltd.,Information Technology,"FNO,N50"
HDFCAMC,,,FNO
HDFCBANK,HDFC Bank Ltd.,Financial Services,"FNO,N50,BNF"
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,"FNO,N50"
HEROMOTOCO,,,FNO
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,"FNO,N50"
HINDPETRO,,,FNO
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,"FNO,N50"
HINDZINC,,,FNO
HYUNDAI,,,FNO
ICICIBANK,ICICI Bank Ltd.,Financial Services,"FNO,N50,BNF"
ICICIGI,,,FNO
ICICIPRULI,,,FNO
IDEA,,,FNO
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,"FNO,BNF"
IEX,,,FNO
INDHOTEL,,,FNO
INDIANB,,,FNO
INDIGO,InterGlobe Aviation Ltd.,Services,"FNO,N50"
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,"FNO,BNF"
INDUSTOWER,,,FNO
INFY,Infosys Ltd.,Information Technology,"FNO,N50"
INOXWIND,,,FNO
IOC,,,FNO
IREDA,,,FNO
IRFC,,,FNO
ITC,ITC Ltd.,Fast Moving Consumer Goods,"FNO,N50"
JINDALSTEL,,,FNO
JIOFIN,Jio Financial Services Ltd.,Financial Services,"FNO,N50"
JSWENERGY,,,FNO
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,"FNO,N50"
JUBLFOOD,,,FNO
KALYANKJIL,,,FNO
KAYNES,,,FNO
KEI,,,FNO
KFINTECH,,,FNO
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,"FNO,N50,BNF"
KPITTECH,,,FNO
LAURUSLABS,,,FNO
LICHSGFIN,,,FNO
LICI,,,FNO
LODHA,,,FNO
LT,Larsen & Toubro Ltd.,Construction,"FNO,N50"
LTF,,,FNO
LTM,,,FNO
LUPIN,,,FNO
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,"FNO,N50"
MANAPPURAM,,,FNO
MANKIND,,,FNO
MARICO,,,FNO
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,"FNO,N50"
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,"FNO,N50"
MAZDOCK,,,FNO
MCX,,,FNO
MFSL,,,FNO
MOTHERSON,,,FNO
MOTILALOFS,,,FNO
MPHASIS,,,FNO
MUTHOOTFIN,,,FNO
NAM-INDIA,,,FNO
NATIONALUM,,,FNO
NAUKRI,,,FNO
NBCC,,,FNO
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,"FNO,N50"
NHPC,,,FNO
NMDC,,,FNO
NTPC,NTPC Ltd.,Power,"FNO,N50"
NYKAA,,,FNO
OBEROIRLTY,,,FNO
OFSS,,,FNO
OIL,,,FNO
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,"FNO,N50"
PAGEIND,,,FNO
PATANJALI,,,FNO
PAYTM,,,FNO
PERSISTENT,,,FNO
PETRONET,,,FNO
PFC,,,FNO
PGEL,,,FNO
PHOENIXLTD,,,FNO
PIDILITIND,,,FNO
PIIND,,,FNO
PNB,Punjab National Bank,Financial Services,"FNO,BNF"
PNBHOUSING,,,FNO
POLICYBZR,,,FNO
POLYCAB,,,FNO
POWERGRID,Power Grid Corporation of India Ltd.,Power,"FNO,N50"
POWERINDIA,,,FNO
PREMIERENE,,,FNO
PRESTIGE,,,FNO
RADICO,,,FNO
RBLBANK,,,FNO
RECLTD,,,FNO
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,"FNO,N50"
RVNL,,,FNO
SAIL,,,FNO
SBICARD,,,FNO
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,"FNO,N50"
SBIN,State Bank of India,Financial Services,"FNO,N50,BNF"
SHREECEM,,,FNO
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,"FNO,N50"
SIEMENS,,,FNO
SOLARINDS,,,FNO
SONACOMS,,,FNO
SRF,,,FNO
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,"FNO,N50"
SUPREMEIND,,,FNO
SUZLON,,,FNO
SWIGGY,,,FNO
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,"FNO,N50"
TATAELXSI,,,FNO
TATAPOWER,,,FNO
TATASTEEL,Tata Steel Ltd.,Metals & Mining,"FNO,N50"
TCS,Tata Consultancy Services Ltd.,Information Technology,"FNO,N50"
TECHM,Tech Mahindra Ltd.,Information Technology,"FNO,N50"
TIINDIA,,,FNO
TITAN,Titan Company Ltd.,Consumer Durables,"FNO,N50"
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,"FNO,N50"
TORNTPHARM,,,FNO
TRENT,Trent Ltd.,Consumer Services,"FNO,N50"
TVSMOTOR,,,FNO
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,"FNO,N50"
UNIONBANK,Union Bank of India,Financial Services,"FNO,BNF"
UNITDSPR,,,FNO
UNOMINDA,,,FNO
UPL,,,FNO
VBL,,,FNO
VEDL,,,FNO
VMM,,,FNO
VOLTAS,,,FNO
WAAREEENER,,,FNO
WIPRO,Wipro Ltd.,Information Technology,"FNO,N50"
YESBANK,Yes Bank Ltd.,Financial Services,"FNO,BNF"
ZYDUSLIFE,,,FNO
